Wavelength(nm)	Sample_S1_Abs_coeff(1/cm)	Sample_S2_Abs_coeff(1/cm)
454.72	17.97493151	2.49101889
455.16	17.97833301	2.59555979
455.6	19.48510783	2.10570333
456.04	18.59687585	0.05893465
456.47	15.70684611	-0.71078845
456.91	16.59322746	0.32413949
457.35	16.30791826	0.59348441
457.79	16.1222402	1.67015177
458.23	19.25263676	2.07561219
458.67	18.21616759	0.03123917
459.11	14.97982728	0.8264412
459.55	16.6664519	0.29631505
459.98	15.92693875	0.00514598
460.42	16.81610301	0.96158522
460.86	15.68977007	0.92113336
461.3	15.67739145	1.92935515
461.74	14.81524715	0.26686955
462.18	13.94567261	0.89043037
462.61	15.91622465	1.38804342
463.05	14.66407937	1.55276722
463.49	15.31911709	1.23632919
463.93	16.23057583	0.87799172
464.37	13.78337502	0.0588939
464.8	12.90565824	1.96580551
465.24	14.16769857	0.72434322
465.68	14.40560396	2.25493691
466.12	12.59393743	0.43507808
466.56	12.8674117	1.60738309
466.99	14.18011672	0.24929868
467.43	12.89185323	1.76222665
467.87	13.37510677	0.89680332
468.31	12.45033636	1.02183147
468.74	11.90693886	1.1952316
469.18	12.71103224	1.57593488
469.62	12.07656678	1.39951107
470.06	12.13569143	1.61626622
470.49	12.92093369	1.71963411
470.93	12.75341803	1.59068412
471.37	12.28372957	0.86686988
471.8	11.06581866	1.98944336
472.24	12.62216526	2.01157607
472.68	12.12627392	1.96401663
473.12	11.40477548	2.02671772
473.55	11.9383934	1.48879343
473.99	12.91688945	1.75606734
474.43	11.82838556	1.9372056
474.86	11.5225101	2.40805888
475.3	11.52846719	2.23234145
475.74	11.08548524	2.39361436
476.17	10.28738056	0.80159169
476.61	10.18886086	1.00433998
477.05	11.74207839	1.96757336
477.48	10.31494231	1.85503385
477.92	11.76881846	2.08776124
478.35	10.61434452	2.25109204
478.79	9.25891368	1.64221248
479.23	10.51537767	1.34845965
479.66	10.88988494	2.26285716
480.1	11.04165572	2.66216511
480.54	10.89740975	1.65257303
480.97	10.36020134	1.77208071
481.41	9.8576646	2.67468564
481.84	10.94545117	2.48079757
482.28	9.97063753	1.65413251
482.71	9.82616467	1.45827854
483.15	9.97161906	2.2020363
483.59	10.83071265	2.99222173
484.02	10.14505345	2.29647388
484.46	9.25931895	2.26637305
484.89	9.78121037	2.27010402
485.33	9.69303342	1.69381253
485.76	10.12113874	2.43179217
486.2	9.27419944	2.51036146
486.63	9.56974955	1.36440579
487.07	10.31395046	2.85867739
487.5	10.54788311	3.73653944
487.94	9.88047593	2.6904493
488.37	9.38869366	2.56877358
488.81	10.07165859	2.14230541
489.24	9.92216484	2.04088685
489.68	9.86193869	3.10865795
490.11	10.28594995	2.95380495
490.55	10.59246836	2.60299893
490.98	10.13647451	2.97448525
491.42	10.0306467	2.34087065
491.85	9.29801354	2.64792669
492.29	9.178086	1.9236111
492.72	9.08541098	2.57632522
493.16	9.03488474	2.62987451
493.59	9.63651259	2.58854274
494.03	10.19743933	2.57850647
494.46	9.3438486	2.50911406
494.89	8.97053339	2.43129172
495.33	8.96655391	2.46592723
495.76	9.09432724	2.68065958
496.2	9.77727602	2.66715963
496.63	9.34857617	2.87530263
497.06	9.54591262	2.92971856
497.5	9.7341548	3.05400482
497.93	9.86886279	3.49010374
498.37	9.19243357	3.17066049
498.8	9.46334994	2.88676534
499.23	9.31483081	3.73758299
499.67	9.09829029	3.49763249
500.1	8.96014576	2.51031754
500.53	9.88939829	2.50627333
500.97	9.00463047	2.49673364
501.4	9.49532922	3.26968885
501.83	9.53822715	2.95138511
502.27	9.64267156	2.7678149
502.7	9.72687358	3.36931414
503.13	9.172418	3.12351977
503.57	10.03013342	3.73500296
504	10.46133602	3.56882143
504.43	9.52947763	2.79568599
504.87	9.91952004	3.68472089
505.3	8.67373234	3.24202775
505.73	9.12519992	3.28154947
