Wavelength(nm)	Pump_35(uJ)	Pump_73(uJ)	Pump_140(uJ)	Pump_260(uJ)	Pump_400(uJ)
298.75	-0.00273436	0.00255809	2.6476E-4	-0.00141125	-3.529E-4	-0.00105835
299.21	-0.00123498	0.00105835	0.0038812	0.00264623	0.00502769	0.0028225
299.66	0.00220519	0.00246995	9.7021E-4	-8.8208E-4	4.4104E-4	5.2917E-4
300.12	-0.00202891	2.6476E-4	-0.00114684	-0.00185229	4.4104E-4	4.4104E-4
300.58	0.00414561	0.00220519	0.00132311	0.00423375	0.00344016	0.00141125
301.03	8.8208E-4	0.00141125	7.9394E-4	0.0035283	-0.00194042	3.529E-4
301.49	-2.6476E-4	-0.00176415	-5.2917E-4	-2.6476E-4	0.00149939	0.00141125
301.95	0.00176415	-1.7627E-4	-0.00114684	-0.00149939	-0.00158788	-6.1731E-4
302.4	-0.00405748	8.814E-5	-6.1731E-4	4.4104E-4	-0.00176415	-0.00158788
302.86	-5.2917E-4	0.00185229	0.00176415	-7.058E-4	-1.7627E-4	-5.2917E-4
303.32	-0.00220519	-0.0035283	-0.00167601	-0.0031754	-6.1731E-4	-0.00246995
303.77	-5.2917E-4	0.00405748	2.6476E-4	0.00299913	-0.00105835	-3.529E-4
304.23	0.00141125	0.00202891	0.0028225	0.00158788	0.00114684	-8.814E-5
304.69	4.4104E-4	-0.00132311	9.7021E-4	0.00132311	0.0028225	0.00167601
305.14	0.00273436	0.00687998	0.00511583	0.00141125	-2.6476E-4	4.4104E-4
305.6	0.00299913	0.00370458	-6.1731E-4	0.00264623	0.00291099	0.00246995
306.06	-0.00132311	0.00291099	0.00299913	0.00220519	0.00194042	-8.8208E-4
306.51	-0.00246995	0.00105835	-0.00105835	0.00291099	0.00185229	1.7627E-4
306.97	0.00220519	0.00114684	-8.8208E-4	0.0028225	5.2917E-4	-8.8208E-4
307.42	0.00273436	0.00149939	2.6476E-4	0.00105835	0.00141125	0.0031754
307.88	2.6476E-4	-0.00326354	-0.00114684	-2.6476E-4	4.4104E-4	0.00123498
308.34	6.1731E-4	0.00132311	9.7021E-4	0.00149939	-9.7021E-4	-0.00132311
308.79	-0.00123498	-0.00176415	7.058E-4	-0.00273436	2.6476E-4	-9.7021E-4
309.25	-0.00132311	-8.814E-5	-4.4104E-4	0.00246995	4.4104E-4	-0.00149939
309.7	8.814E-5	0.00194042	0.00202891	0.00405748	-8.8208E-4	5.2917E-4
310.16	-0.0028225	-0.00123498	-0.0035283	8.814E-5	-4.4104E-4	2.6476E-4
310.62	-0.00344016	-0.00344016	2.6476E-4	8.8208E-4	-0.00229333	-0.00246995
