Wavelength (nm)	S2_532(arb.units)	S2_450(arb.units)	S2_400(arb.units)
427.39	0.00558739	-2.858E-4	6.4396E-4
427.83	0.0079206	-0.0010792	0.00257585
428.27	0.00462124	-5.8418E-4	-0.00141661
428.72	0.00500531	0.00115821	0.00225387
429.16	0.00457251	0.00190835	4.5067E-4
429.6	0.00708734	0.00201296	3.2198E-4
430.04	0.00777619	-0.00125267	9.016E-4
430.48	0.00556391	9.7703E-4	-0.00315547
430.93	0.00332063	4.745E-4	0.00148122
431.37	0.00197749	6.6076E-4	0.00135227
431.81	0.00827809	0.00142106	5.7962E-4
432.25	0.00464604	0.00230119	-0.00225387
432.69	0.00759235	0.00255896	-0.00141661
433.14	0.00725302	0.00233938	0.00167425
433.58	0.0072353	0.00259978	0.00199623
434.02	0.00369451	0.00261502	0.00109463
434.46	0.00221006	0.00128577	6.434E-5
434.9	0.00282183	0.00373748	-0.00302652
435.34	0.00310224	0.00290833	-0.00341285
435.79	0.0060667	0.00171437	-3.8633E-4
436.23	0.0047816	0.00467896	8.3725E-4
436.67	0.00688357	0.00204343	-0.00315547
437.11	0.00257818	0.00487274	-7.0831E-4
437.55	0.00714715	0.00538055	7.0831E-4
437.99	0.00669885	0.00537791	-0.00160991
438.43	0.00467041	0.00601064	0.00264019
438.87	0.00670239	0.00582946	-0.00109463
439.32	0.00603126	0.00655156	6.434E-5
439.76	0.00397935	0.00771242	6.434E-5
440.2	0.00428988	0.00902866	-3.8633E-4
440.64	0.00687338	0.006554	9.016E-4
441.08	0.00746344	0.01043956	0.00173859
441.52	0.00354434	0.00853629	-9.016E-4
441.96	0.00738769	0.00974569	-9.016E-4
442.4	0.00465136	0.01066909	-9.6594E-4
442.84	0.0037933	0.01061303	-0.00109463
443.28	0.01095728	0.01388109	0.00141661
443.72	0.00669796	0.01575633	-4.5067E-4
444.16	0.01063124	0.01663139	0.00225387
444.6	0.00765791	0.01822591	-1.2869E-4
445.04	0.00632496	0.02149397	-0.00128792
445.48	0.00656994	0.02359874	-6.434E-5
445.92	0.00461238	0.02646381	0
446.36	0.00811197	0.03354085	7.7265E-4
446.8	0.00952421	0.04208486	0.00173859
447.24	0.0035718	0.06419633	-0.00154556
447.68	0.00883316	0.12982366	0.00115923
448.12	0.00569947	0.3433527	-6.4396E-4
448.56	0.00572649	0.79978046	-0.0018032
449	0.00588641	1.28705749	-5.1527E-4
449.44	0.00391157	1.28660086	-5.1527E-4
449.88	0.00697926	1.28649626	7.0831E-4
450.32	0.00720739	1.28681516	0.00148122
450.76	0.00759235	1.28671319	7.7265E-4
451.2	0.00644944	1.2868306	-5.1527E-4
451.64	0.00465136	1.28663154	5.1527E-4
452.08	0.00436785	1.28676682	0.00154556
452.52	0.00460042	1.28679221	6.434E-5
452.96	0.0085997	0.59289988	-7.7265E-4
453.4	0.00758792	0.22856346	-2.5764E-4
453.84	0.00806635	0.11000079	0.00154556
454.28	0.00871178	0.06233388	-5.1527E-4
454.72	0.00874101	0.0458786	-0.00109463
455.16	0.00572427	0.03642887	-5.1527E-4
455.6	0.00705368	0.02993337	-0.00193189
456.04	0.00435988	0.02544575	0.00231821
456.47	0.00662664	0.02128232	7.7265E-4
456.91	0.00815539	0.01897077	0.0018032
457.35	0.00907148	0.01746562	-0.00115923
457.79	0.00838707	0.01609311	7.0831E-4
458.23	0.00672542	0.01439641	-5.1527E-4
458.67	0.00426862	0.01215657	-0.00115923
459.11	0.00637502	0.01280453	1.2869E-4
459.55	0.00656551	0.01121509	4.5067E-4
459.98	0.00537343	0.00995734	0.00135227
460.42	0.00619827	0.00886799	7.7265E-4
460.86	0.00814785	0.00934513	6.434E-5
461.3	0.00496632	0.00693425	0.00225387
461.74	0.00435766	0.00770713	0.00154556
462.18	0.00608442	0.00640105	0.00122358
462.61	0.00749578	0.00758221	0.00103029
463.05	0.00511871	0.00487274	7.7265E-4
463.49	0.00645963	0.00497735	-4.5067E-4
463.93	0.00808894	0.00360748	0.00128792
464.37	0.00336271	0.00586521	9.6594E-4
464.8	0.00336404	0.00352075	0.00360614
465.24	0.0053659	0.00491865	-3.8633E-4
465.68	0.00804863	0.00349251	-9.6594E-4
466.12	0.00579648	0.00257927	0.00128792
466.56	0.00359661	0.00348236	-1.2869E-4
466.99	0.00691679	0.00352583	-0.00141661
467.43	0.00880879	0.0028216	0.00276914
467.87	0.00476166	0.00339562	-0.00103029
468.31	0.00361211	0.00329366	-0.00103029
468.74	0.00451138	0.00353334	0.00173859
469.18	0.00799635	0.00391095	-9.6594E-4
469.62	0.00928589	0.00382686	-0.00109463
470.06	0.00462345	0.00334464	-1.2869E-4
470.49	0.00561264	0.00216591	0
470.93	0.00622263	0.00274258	-7.7265E-4
471.37	0.00508327	0.00406411	-5.1527E-4
471.8	0.00219456	0.00296967	1.2869E-4
472.24	0.00301231	0.00397473	0.00122358
472.68	0.00553955	0.00272206	2.5764E-4
473.12	0.00570523	8.9801E-4	7.7265E-4
473.55	0.00260963	0.00357173	0.00283348
473.99	0.00740674	0.00257419	8.3725E-4
474.43	0.00609373	0.00135463	0.00264019
474.86	0.00487285	0.00143385	0.00167425
475.3	0.00462788	0.00200524	7.7265E-4
475.74	0.01014174	0.0034978	0
476.17	0.00672764	0.00227824	0.00592435
476.61	0.00806635	0.00341614	1.9329E-4
477.05	0.00566757	0.00345189	-8.3725E-4
477.48	0.00796402	0.00282667	0.00167425
477.92	0.00530565	0.00240072	-0.00141661
478.35	0.00740009	0.00437021	0.00270454
478.79	0.00949764	0.00480652	-1.9329E-4
479.23	0.00402276	0.0038752	0.00160991
479.66	0.00273411	0.00379111	0.00212518
480.1	0.00563302	0.00258191	-3.2198E-4
480.54	0.00371533	0.0029977	0.00186754
480.97	0.00489943	0.00336251	0.00218952
481.41	0.00869539	0.00323231	0.00141661
