Time(ns)	Amplitude(arb. Unit)		
-33.235	98.592762
-33.21	98.730533
-33.185	98.938082
-33.16	99.237377
-33.135	99.659041
-33.11	100.180049
-33.085	100.663828
-33.06	101.016582
-33.035	101.21623
-33.01	101.292631
-32.985	101.284959
-32.96	101.216164
-32.935	101.06973
-32.91	100.954975
-32.885	100.978213
-32.86	101.108598
-32.835	101.238926
-32.81	101.246648
-32.785	101.184762
-32.76	101.039336
-32.735	100.717385
-32.71	100.165344
-32.685	99.413311
-32.66	98.615721
-32.635	97.940607
-32.61	97.472934
-32.585	97.243193
-32.56	97.212395
-32.535	97.258467
-32.51	97.349975
-32.485	97.488549
-32.46	97.695508
-32.435	98.03309
-32.41	98.539352
-32.385	99.259844
-32.36	100.011713
-32.335	100.594852
-32.31	100.89409
-32.285	100.970205
-32.26	100.855287
-32.235	100.556164
-32.21	100.126664
-32.185	99.666361
-32.16	99.305943
-32.135	99.045746
-32.11	98.899607
-32.085	98.884492
-32.06	99.06832
-32.035	99.398287
-32.01	99.796697
-31.985	100.218943
-31.96	100.579418
-31.935	100.786033
-31.91	100.732762
-31.885	100.371992
-31.86	99.774049
-31.835	99.114336
-31.81	98.531213
-31.785	98.132861
-31.76	97.979467
-31.735	98.078885
-31.71	98.41618
-31.685	98.899902
-31.66	99.32923
-31.635	99.505869
-31.61	99.42109
-31.585	99.229115
-31.56	99.060434
-31.535	98.968689
-31.51	98.999369
-31.485	99.153057
-31.46	99.398082
-31.435	99.67432
-31.41	99.927303
-31.385	100.157631
-31.36	100.287836
-31.335	100.180041
-31.31	99.8585
-31.285	99.4825
-31.26	99.160721
-31.235	98.869213
-31.21	98.577352
-31.185	98.316467
-31.16	98.179008
-31.135	98.171336
-31.11	98.39382
-31.085	98.892352
-31.06	99.528238
-31.035	100.012074
-31.01	100.219098
-30.985	100.295328
-30.96	100.441344
-30.935	100.655803
-30.91	100.854984
-30.885	100.955213
-30.86	100.947246
-30.835	100.832607
-30.81	100.671254
-30.785	100.563525
-30.76	100.502762
-30.735	100.433615
-30.71	100.310607
-30.685	100.134205
-30.66	99.911844
-30.635	99.689369
-30.61	99.613139
-30.585	99.812139
-30.56	100.249369
-30.535	100.816631
-30.51	101.392566
-30.485	101.89823
-30.46	102.220475
-30.435	102.289738
-30.41	102.121057
-30.385	101.89882
-30.36	101.706902
-30.335	101.469025
-30.31	101.055098
-30.285	100.502344
-30.26	99.927
-30.235	99.420861
-30.21	99.014369
-30.185	98.777197
-30.16	98.661975
-30.135	98.53141
-30.11	98.309049
-30.085	98.06391
-30.06	97.887557
-30.035	97.810926
-30.01	97.833467
-29.985	97.918066
-29.96	98.032934
-29.935	98.148336
-29.91	98.370221
-29.885	98.82309
-29.86	99.513418
-29.835	100.280508
-29.81	100.855213
-29.785	101.085484
-29.76	100.893803
-29.735	100.440934
-29.71	99.950074
-29.685	99.628057
-29.66	99.490344
-29.635	99.5205
-29.61	99.681557
-29.585	99.927631
-29.56	100.118959
-29.535	100.172648
-29.51	100.196074
-29.485	100.287697
-29.46	100.395369
-29.435	100.333434
-29.41	100.088705
-29.385	99.758566
-29.36	99.390131
-29.335	99.037795
-29.31	98.815434
-29.285	98.831
-29.26	99.13773
-29.235	99.651598
-29.21	100.210893
-29.185	100.617795
-29.16	100.801926
-29.135	100.801918
-29.11	100.717139
-29.085	100.51773
-29.06	100.195713
-29.035	99.79677
-29.01	99.40573
-28.985	99.076172
-28.96	98.769205
-28.935	98.462713
-28.91	98.216926
-28.885	98.102123
-28.86	98.071213
-28.835	98.07859
-28.81	98.124902
-28.785	98.309213
-28.76	98.654402
-28.735	98.98368
-28.71	99.175885
-28.685	99.160082
-28.66	98.945615
-28.635	98.707557
-28.61	98.669795
-28.585	98.991975
-28.56	99.620885
-28.535	100.387156
-28.51	101.223795
-28.485	102.005934
-28.46	102.550131
-28.435	102.688016
-28.41	102.512016
-28.385	102.259205
-28.36	102.036434
-28.335	101.836844
-28.31	101.638074
-28.285	101.476484
-28.26	101.315828
-28.235	101.05518
-28.21	100.747689
-28.185	100.509992
-28.16	100.36427
-28.135	100.180607
-28.11	99.888984
-28.085	99.620836
-28.06	99.521016
-28.035	99.651582
-28.01	99.996492
-27.985	100.532844
-27.96	101.085656
-27.935	101.453926
-27.91	101.561123
-27.885	101.491811
-27.86	101.353926
-27.835	101.162418
-27.81	100.908795
-27.785	100.594393
-27.76	100.126828
-27.735	99.451484
-27.71	98.654238
-27.685	97.987262
-27.66	97.587738
-27.635	97.381352
-27.61	97.265836
-27.585	97.243352
-27.56	97.411557
-27.535	97.772557
-27.51	98.216877
-27.485	98.631508
-27.46	98.892336
-27.435	98.90709
-27.41	98.600123
-27.385	98.002295
-27.36	97.296443
-27.335	96.714074
-27.31	96.445689
-27.285	96.522041
-27.26	96.805705
-27.235	97.158746
-27.21	97.511434
-27.185	97.887484
-27.16	98.278049
-27.135	98.700057
-27.11	99.244836
-27.085	99.904197
-27.06	100.479303
-27.035	100.839664
-27.01	101.031934
-26.985	101.115779
-26.96	101.016598
-26.935	100.709811
-26.91	100.326033
-26.885	100.072762
-26.86	100.003918
-26.835	100.072893
-26.81	100.226533
-26.785	100.510074
-26.76	100.932377
-26.735	101.384303
-26.71	101.775451
-26.685	102.021115
-26.66	102.089902
-26.635	101.929246
-26.61	101.622631
-26.585	101.292426
-26.56	100.91673
-26.535	100.464107
-26.51	99.981385
-26.485	99.589582
-26.46	99.32132
-26.435	99.122434
-26.41	98.999361
-26.385	99.045492
-26.36	99.283492
-26.335	99.6055
-26.31	99.881615
-26.285	100.042156
-26.26	100.065115
-26.235	99.942582
-26.21	99.689541
-26.185	99.429131
-26.16	99.221992
-26.135	99.037918
-26.11	98.800041
-26.085	98.554541
-26.06	98.377951
-26.035	98.317115
-26.01	98.34
-25.985	98.439352
-25.96	98.577697
-25.935	98.638943
-25.91	98.546443
-25.885	98.385377
-25.86	98.278066
-25.835	98.339361
-25.81	98.58532
-25.785	98.929926
-25.76	99.191287
-25.735	99.260369
-25.71	99.198607
-25.685	99.106738
-25.66	98.960721
-25.635	98.769434
-25.61	98.600811
-25.585	98.661992
-25.56	98.999164
-25.535	99.559115
-25.51	100.218648
-25.485	100.870803
-25.46	101.400311
-25.435	101.744746
-25.41	101.89873
-25.385	101.96741
-25.36	102.013607
-25.335	102.051721
-25.31	102.020992
-25.285	101.859697
-25.26	101.514975
-25.235	101.031615
-25.21	100.510369
-25.185	100.096369
-25.16	99.773828
-25.135	99.536066
-25.11	99.406082
-25.085	99.398115
-25.06	99.482131
-25.035	99.574516
-25.01	99.643549
-24.985	99.74309
-24.96	99.865631
-24.935	99.904631
-24.91	99.843385
-24.885	99.797311
-24.86	99.888648
-24.835	100.072721
-24.81	100.241451
-24.785	100.364525
-24.76	100.440869
-24.735	100.502164
-24.71	100.632787
-24.685	100.931967
-24.66	101.353631
-24.635	101.668205
-24.61	101.668262
-24.585	101.323475
-24.56	100.701582
-24.535	99.965451
-24.51	99.290516
-24.485	98.799885
-24.46	98.485836
-24.435	98.24732
-24.41	98.001943
-24.385	97.687664
-24.36	97.24318
-24.335	96.744295
-24.31	96.368598
-24.285	96.31491
-24.26	96.683238
-24.235	97.396402
-24.21	98.232344
-24.185	98.984041
-24.16	99.597385
-24.135	100.050189
-24.11	100.364295
-24.085	100.586721
-24.06	100.817287
-24.035	101.116115
-24.01	101.476303
-23.985	101.82982
-23.96	102.021041
-23.935	101.92877
-23.91	101.59177
-23.885	101.215828
-23.86	100.931926
-23.835	100.663779
-23.81	100.287951
-23.785	99.812074
-23.76	99.321377
-23.735	98.869328
-23.71	98.470262
-23.685	98.201295
-23.66	98.086369
-23.635	98.056221
-23.61	98.010205
-23.585	97.933574
-23.56	97.879943
-23.535	97.95659
-23.51	98.19382
-23.485	98.653951
-23.46	99.351721
-23.435	100.280049
-23.41	101.315639
-23.385	102.258893
-23.36	102.849525
-23.335	102.964795
-23.31	102.680426
-23.285	102.167197
-23.26	101.537861
-23.235	100.909123
-23.21	100.387287
-23.185	99.942566
-23.16	99.397844
-23.135	98.616
-23.11	97.687795
-23.085	96.859754
-23.06	96.25332
-23.035	95.854426
-23.01	95.65518
-22.985	95.716418
-22.96	95.977656
-22.935	96.300016
-22.91	96.568451
-22.885	96.828992
-22.86	97.127582
-22.835	97.427221
-22.81	97.741451
-22.785	98.178508
-22.76	98.76123
-22.735	99.283303
-22.71	99.543492
-22.685	99.474811
-22.66	99.129557
-22.635	98.539164
-22.61	97.818615
-22.585	97.166566
-22.56	96.729221
-22.535	96.590877
-22.51	96.760139
-22.485	97.189467
-22.46	97.73391
-22.435	98.278631
-22.41	98.891861
-22.385	99.643967
-22.36	100.449049
-22.335	101.116369
-22.31	101.591656
-22.285	101.890369
-22.26	102.013492
-22.235	101.944705
-22.21	101.829369
-22.185	101.837451
-22.16	101.9905
-22.135	102.120533
-22.11	102.105377
-22.085	101.952508
-22.06	101.660885
