Wavelength(nm)	S1_532(arb.units)	S1_450(arb.units)	S1_400(arb.units)
390.93	0.00374102	0.00119132	0
391.38	8.904E-4	2.6792E-4	0
391.83	0.00468901	4.2087E-4	0
392.27	0.00488393	0.00195426	0
392.72	0.00333613	3.4186E-4	0
393.17	0.00439753	-5.3584E-4	0
393.61	0.00261717	0.00181146	0
394.06	0.00345397	4.9237E-4	0
394.51	0.00811109	9.5164E-4	0
394.95	0.00255027	8.3423E-4	0
395.4	0.00701248	0.00131645	0
395.85	0.00538938	0.00214296	0
396.29	0.00401479	0.00127298	0
396.74	0.00569947	0.00223741	0
397.18	0.00459023	0.00137007	0
397.63	0.00756799	0.00239057	0
398.08	0.0057699	6.5304E-4	0
398.52	0.00323912	-7.72E-6	0
398.97	0.00439753	5.3584E-4	0
399.41	0.0057699	0.00217627	0
399.86	0.00538362	1.6839E-4	0.00115923
400.3	0.00741338	0.00102314	4.5067E-4
400.75	0.00574864	0.0013394	0.00296217
401.19	0.00269292	0.0017424	0.00231821
401.64	0.0024382	0.00109199	0.00154556
402.09	0.00566979	7.8325E-4	0.00160991
402.53	-0.00245902	8.649E-4	5.7962E-4
402.98	0.00568839	0.00112003	0.00148122
403.42	0.00332151	0.00218379	9.016E-4
403.87	0.00255736	8.3931E-4	-0.00115923
404.31	0.00126296	5.3828E-4	7.0831E-4
404.76	0.00547266	1.0461E-4	0.0018032
405.2	0.00393461	6.9143E-4	6.4396E-4
405.65	0.00197173	0.00293636	0.00135227
406.09	0.00399264	4.8465E-4	-6.434E-5
406.54	0.00511428	0.00168634	0.00212518
406.98	0.00532559	0.00142613	-1.2869E-4
407.43	0.00262071	0.00106132	0.00160991
407.87	0.00467484	0.0014109	0.00231821
408.32	0.00360325	0.00136235	9.016E-4
408.76	0.00108266	0.00220674	0.00289783
409.21	0.00193629	-4.4139E-4	9.6594E-4
409.65	0.00638388	7.1175E-4	9.6594E-4
410.09	0.00197838	0.0011507	0.00373483
410.54	0.00330601	-2.9595E-4	0.00225387
410.98	0.00637414	0.00229855	9.016E-4
411.43	0.00395366	6.8107E-4	-6.434E-5
411.87	0.00231549	0.00169405	0.00160991
412.32	0.00650083	0.00126546	-0.00122358
412.76	0.0057008	0.00143121	0.00122358
413.2	0.00420616	0.00101278	0.00122358
413.65	0.00902453	0.00104609	-0.00109463
414.09	0.006787	0.00290325	0.00167425
414.54	0.00346194	0.00101785	0.00141661
414.98	0.00647425	0.00145924	0.00103029
415.42	0.00328165	0.00125003	0.00244716
415.87	0.00245016	5.4336E-4	-1.9329E-4
416.31	0.00176707	3.4694E-4	0.00160991
416.76	0.0035811	0.00268388	0.00225387
417.2	0.00810001	0.0024186	0.00450773
417.64	0.00581642	5.3584E-4	7.0831E-4
418.09	0.00615131	9.4656E-4	-0.00128792
418.53	0.00221449	0.00213036	0.00244716
418.97	0.00545582	-3.317E-4	0.00264019
419.42	0.00209533	6.0978E-4	0.00302652
419.86	0.0036511	0.00109707	0.00302652
420.3	0.0027031	0.00330381	-2.5764E-4
420.75	5.5063E-4	0.00168898	0.00173859
421.19	0.00287853	0.00244399	0.00212518
421.63	0.00383671	-0.00103573	0.00270454
422.08	0.00467351	0.00208954	0.00109463
422.52	0.00301763	0.0021584	0.00218952
422.96	0.00271418	9.9754E-4	7.7265E-4
423.4	0.00379684	-1.1233E-4	-0.00296217
423.85	0.0068437	0.00220166	0.00148122
424.29	0.00374235	-2.6528E-4	0.00173859
424.73	0.0057287	0.00199508	0.00160991
425.18	0.005606	0.00176027	0.00128792
425.62	0.00291441	0.00180618	0.00135227
426.06	0.0027443	0.0010205	0.0025115
426.5	0.00242712	0.00270947	0.00135227
426.95	0.00448568	0.00261502	0.00302652
427.39	0.00191503	0.00155105	0.00373483
427.83	0.00246832	0.00131888	0.00598869
428.27	0.00562283	0.00206902	0.0051517
428.72	0.00622928	0.00273994	0.00360614
429.16	0.00624168	0.00354106	0.00367048
429.6	0.00452777	0.00313542	0.00199623
430.04	0.00299105	0.00237005	0.00212518
430.48	0.00600911	0.0024058	7.7265E-4
430.93	0.00398821	0.0021584	0.00347745
