Wavelength_(nm)	S1_1.3uJ(arb.units)	S1_15uJ(arb.units)	S1_400uJ(arb.units)
420.75	0.00231096	0.00261657	0.00414584
421.19	0.00285481	0.00377204	0.00795198
421.63	0.00387432	0.00448595	0.00621896
422.08	9.5174E-4	9.5174E-4	0.00329638
422.52	7.4759E-4	-0.00159705	6.4572E-4
422.96	0.00329638	0.00207312	0.00299036
423.4	9.5174E-4	0.00217499	0.00146149
423.85	-0.00203903	-1.0187E-4	0.00193716
424.29	7.135E-4	9.1764E-4	0.00285481
424.73	0.00367017	0.00397619	0.00305855
425.18	-0.00319451	-9.5174E-4	0.00220909
425.62	-0.00265066	-0.00346643	8.1577E-4
426.06	3.409E-5	-3.738E-4	0.0024806
426.5	-6.1163E-4	-0.00132553	-0.00112139
426.95	0.00118957	-0.00237873	-5.4385E-4
427.39	-0.00101952	-0.00234505	0.00326229
427.83	0.00339825	0.00115548	0.00370427
428.27	0.00163114	4.0789E-4	2.0374E-4
428.72	-5.0976E-4	0.00336456	0.00265066
429.16	0.00496161	0.00169933	0.00282071
429.6	-2.3783E-4	0.00271884	0.00434999
430.04	-0.00132553	0.00183529	0.00122326
430.48	-5.7754E-4	0.00309264	0.00421402
430.93	-0.00309264	8.8355E-4	0.00414584
431.37	-0.00210681	-8.8355E-4	3.409E-5
431.81	0.00231096	0.00159705	0.00200494
432.25	-6.778E-5	0.00176711	0.00350012
432.69	0.00132553	0.00519945	0.00132553
433.14	5.4385E-4	0.00299036	-6.778E-5
433.58	-4.0789E-4	0.00224277	0.00448595
434.02	0.00210681	0.00312632	0.00577739
434.46	8.1577E-4	0.00336456	0.00132553
434.9	-1.3596E-4	1.7005E-4	0.00149518
435.34	3.0602E-4	-3.0602E-4	0.00326229
435.79	-2.3783E-4	6.778E-5	0.0032286
436.23	0.00135922	0.00146149	0.00197085
436.67	8.4946E-4	3.397E-4	-8.8355E-4
437.11	-2.3783E-4	0.00210681	0.00404397
437.55	0.00197085	0.00451963	0.00237873
437.99	0.00105361	0.00176711	0.00339825
438.43	9.8542E-4	8.8355E-4	0.0025147
438.87	8.1577E-4	-0.00101952	0.00326229
439.32	0.00288849	0.00115548	0.00258288
439.76	0.00129144	0.00118957	0.00169933
440.2	0.00139331	0.00261657	0.00445186
440.64	0.0014274	0.00163114	0.00407806
441.08	3.409E-5	-0.00231096	0.00227686
441.52	0.00370427	0.00380614	0.00533541
441.96	-8.4946E-4	-0.00135922	0.00343234
442.4	0.00397619	0.00132553	0.00713661
442.84	1.3596E-4	0.00146149	0.00615118
443.28	2.7192E-4	2.7192E-4	0.00343234
443.72	0.00227686	2.3783E-4	0.00472378
444.16	0.00203903	0.00132553	0.00152927
444.6	7.4759E-4	0.0024806	0.00197085
445.04	0.00200494	0.00118957	0.00577739
445.48	-0.00125735	-0.0024806	0.00169933
445.92	2.0374E-4	0.00101952	4.0789E-4
446.36	-0.00115548	-8.4946E-4	0.00169933
446.8	0.0025147	0.0025147	0.00781601
